repository_name,repository_url,commit_id,parent_commit_id,commit_url
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,d2ff52fcf36f1c2b2f7afb5857554933f5123c51,3e3116d199413ea06c54885bf124ef039b93674e,https://github.com/cloudfoundry/uaa/commit/d2ff52fcf36f1c2b2f7afb5857554933f5123c51
apache/dubbo,https://github.com/apache/dubbo,d46f33132b80d01efd00509b2e5064271e4c0964,0631e705def9e9e25df3d56d17407a5fd83a7846,https://github.com/apache/dubbo/commit/d46f33132b80d01efd00509b2e5064271e4c0964
apache/Flink,https://github.com/apache/Flink,f7a608414604b3bc3bd44f93dad69619c5d7a00f,dd0f04f798c91a243949c7eb36bd8a1468a81a02,https://github.com/apache/Flink/commit/f7a608414604b3bc3bd44f93dad69619c5d7a00f
vespa-engine/vespa,https://github.com/vespa-engine/vespa,1b78af9b70773ef4f7c64779f5c78dc516040b87,81bd29665355b18ac42806dcc3b68d3596a17b57,https://github.com/vespa-engine/vespa/commit/1b78af9b70773ef4f7c64779f5c78dc516040b87
apache/Flink,https://github.com/apache/Flink,9f92ddfecad6e056cc4b58311e493cbb0884357b,86ebb1055870dd65c2603a45164d1fbe07a35d6d,https://github.com/apache/Flink/commit/9f92ddfecad6e056cc4b58311e493cbb0884357b
apache/kafka,https://github.com/apache/kafka,125d69caee993710bc07523fdd3deb0e06b10636,630e9c5679efa0916a7bfca849dfc8850737681c,https://github.com/apache/kafka/commit/125d69caee993710bc07523fdd3deb0e06b10636
apache/wicket,https://github.com/apache/wicket,3eae72e1f80a3bc15c364b716762e058f58a2f57,02709188f9fb858f2abf1adcb9660fb387b63186,https://github.com/apache/wicket/commit/3eae72e1f80a3bc15c364b716762e058f58a2f57
vespa-engine/vespa,https://github.com/vespa-engine/vespa,d8bd2760ff133bad54edf036b34ab454ef23129c,bd00e909737a086ac8e3de4e8c374f3a0c755bc6,https://github.com/vespa-engine/vespa/commit/d8bd2760ff133bad54edf036b34ab454ef23129c
apache/dubbo,https://github.com/apache/dubbo,6f50470b5a88a3bd09ab2a7611fbed419bbb761c,47f7be2fd6137dc01433d9cd0e37204b0d350686,https://github.com/apache/dubbo/commit/6f50470b5a88a3bd09ab2a7611fbed419bbb761c
real-logic/aeron,https://github.com/real-logic/aeron,de2b456c22efee78dff58884087bf5427565bf37,917d970570896ac0d4f159a4636e2f2344c69f56,https://github.com/real-logic/aeron/commit/de2b456c22efee78dff58884087bf5427565bf37
