Index,Commit URL,Type Name,Description,Memo,Agreement,Annotator Name,Path,Start Line (Before),End Line (Before),Start Line (After),End Line (After)
233,https://github.com/unclebob/fitnesse/commit/5990a0de28106fce1c47be9c10060f215c89c6a6,Creation Method,,,,Mont9165,test/fit/FixtureTest.java,136,139,126,127
227,https://github.com/wso2/testgrid/commit/fcb81496919212f2184cbf15827cb842f2e01546,Rename Variable,,,,Mont9165,,,,,
227,https://github.com/wso2/testgrid/commit/fcb81496919212f2184cbf15827cb842f2e01546,Non-Refactoring,,,,Mont9165,,,,,
228,https://github.com/junit-team/junit4/commit/df016dc056ab15dfa7a6c448ef1905b27eff877f,Non-Refactoring,,,,Mont9165,,,,,
229,https://github.com/agrestio/agrest/commit/146a3f3175b1c0992abe3a60e0d28fcc8a139f2c,Non-Refactoring,,,,Mont9165,,,,,
192,https://github.com/oskariorg/oskari-server/commit/62dd73e6c20fad1be85bd17d69e5d5a03db5204d,Inline Setup,,,,Mont9165,service-map/src/test/java/fi/nls/oskari/map/view/util/ViewHelperTest.java,111,115,51,52
192,https://github.com/oskariorg/oskari-server/commit/62dd73e6c20fad1be85bd17d69e5d5a03db5204d,Inline Setup,,,,Mont9165,service-map/src/test/java/fi/nls/oskari/map/view/util/ViewHelperTest.java,73,74,74,75
230,https://github.com/liferay/liferay-blade-cli/commit/d82788270353a7813221a782de1dd9bcfb11b279,Non-Refactoring,,,,Mont9165,,,,,
193,https://github.com/aaberg/sql2o/commit/e6a0781491c06b6a2ea52bd4ea97649497cbdf7a,Testcase SuperClass,,,,Mont9165,core/src/test/java/org/sql2o/Sql2oTest.java,38,83,1,64
194,https://github.com/iluwatar/30-seconds-of-java/commit/4b7e67d5c748681e223a7108b65eed8c8e0a84d1,Non-Refactoring,,,,Mont9165,,,,,
190,https://github.com/bmwcarit/joynr/commit/fbc436acfaa6e7aeba393e8e33e93076779eae83,Creation Method,,,,Mont9165,java/core/libjoynr/src/test/java/io/joynr/capabilities/GlobalCapabilitiesDirectoryClientTest.java,108,116,108,109
190,https://github.com/bmwcarit/joynr/commit/fbc436acfaa6e7aeba393e8e33e93076779eae83,Implicit Setup,,,,Mont9165,java/core/libjoynr/src/test/java/io/joynr/capabilities/GlobalCapabilitiesDirectoryClientTest.java,117,124,116,120
197,https://github.com/tracecompass/tracecompass/commit/1d1befc592e6657ebc51d71380f49e7e9657cdfc,Assertion Message,,,,Mont9165,tmf/org.eclipse.tracecompass.tmf.ui.tests/src/org/eclipse/tracecompass/tmf/ui/tests/markers/ConfigurableMarkerEventSourceTest.java,250,255,250,256
197,https://github.com/tracecompass/tracecompass/commit/1d1befc592e6657ebc51d71380f49e7e9657cdfc,Implicit Setup,,,,Mont9165,,,,,
197,https://github.com/tracecompass/tracecompass/commit/1d1befc592e6657ebc51d71380f49e7e9657cdfc,Creation Method,,,,Mont9165,,,,,
197,https://github.com/tracecompass/tracecompass/commit/1d1befc592e6657ebc51d71380f49e7e9657cdfc,Assertion Message,,,,Mont9165,tmf/org.eclipse.tracecompass.tmf.ui.tests/src/org/eclipse/tracecompass/tmf/ui/tests/markers/PeriodicMarkerEventSourceTest.java,213,218,209,210
197,https://github.com/tracecompass/tracecompass/commit/1d1befc592e6657ebc51d71380f49e7e9657cdfc,Assertion Message,,,,Mont9165,tmf/org.eclipse.tracecompass.tmf.ui.tests/src/org/eclipse/tracecompass/tmf/ui/tests/markers/PeriodicMarkerEventSourceTest.java,209,210,213,219
197,https://github.com/tracecompass/tracecompass/commit/1d1befc592e6657ebc51d71380f49e7e9657cdfc,Cleanup Method,,,,Mont9165,tmf/org.eclipse.tracecompass.tmf.ui.tests/src/org/eclipse/tracecompass/tmf/ui/tests/markers/ConfigurableMarkerEventSourceTest.java,255,256,137,146
